 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 50;  1.0000;198.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 51;  1.0000;202.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;1.000000;1.000000;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 52;  1.0000;206.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 53;  1.0000;210.0000;    22;     0;     0;     0;    22;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 54;  1.0000;214.0000;    16;     4;     0;     0;    20;0.000310;0.000078;0.000388;1.000000;0.800000;0.800000;1.000000;1.000000;1.000000;0.038777;0.031022;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000166;0.000166;0.000000;0.000166;0.000166
 All;  1; 55;  1.0000;218.0000;    16;     8;     0;     0;    24;0.000259;0.000129;0.000388;1.000000;0.666667;0.666667;1.000000;1.000000;1.000000;0.038777;0.025851;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000138;0.000138;0.000000;0.000138;0.000138
 All;  1; 56;  1.0000;222.0000;    16;     8;     0;     0;    24;0.000259;0.000129;0.000388;1.000000;0.666667;0.666667;1.000000;1.000000;1.000000;0.038777;0.025851;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000138;0.000138;0.000000;0.000138;0.000138
 All;  1; 57;  1.0000;226.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 58;  1.0000;230.0000;    19;     0;     0;     0;    19;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 59;  1.0000;234.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;0.999844;0.999844;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000208;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 60;  1.0000;238.0000;    19;     2;     0;     0;    21;0.000351;0.000037;0.000388;1.000000;0.904762;0.904762;1.000000;0.999855;0.999855;0.038777;0.035084;0.000014;0.000006;0.000000;0.000207;0.000208;0.000000;0.000188;0.000188;0.000000;0.000188;0.000188
 All;  1; 61;  1.0000;242.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;0.999903;0.999903;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 62;  1.0000;246.0000;    18;     3;     0;     0;    21;0.000332;0.000055;0.000388;1.000000;0.857143;0.857143;1.000000;0.999815;0.999815;0.038777;0.033238;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000178;0.000178;0.000000;0.000178;0.000178
 All;  1; 63;  1.0000;250.0000;    18;     3;     0;     0;    21;0.000332;0.000055;0.000388;1.000000;0.857143;0.857143;1.000000;0.999804;0.999804;0.038777;0.033238;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000178;0.000178;0.000000;0.000178;0.000178
 All;  1; 64;  1.0000;254.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;0.999935;0.999935;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 65;  1.0000;258.0000;    18;     1;     0;     0;    19;0.000367;0.000020;0.000388;1.000000;0.947368;0.947368;1.000000;0.999831;0.999831;0.038777;0.036736;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000196;0.000196;0.000000;0.000196;0.000196
 All;  1; 66;  1.0000;262.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999994;0.999994;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 67;  1.0000;266.0000;    23;     1;     0;     0;    24;0.000372;0.000016;0.000388;1.000000;0.958333;0.958333;1.000000;0.999991;0.999991;0.038777;0.037162;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000199;0.000199;0.000000;0.000199;0.000199
 All;  1; 68;  1.0000;270.0000;    16;     3;     0;     0;    19;0.000327;0.000061;0.000388;1.000000;0.842105;0.842105;1.000000;0.999628;0.999628;0.038777;0.032654;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000175;0.000175;0.000000;0.000175;0.000175
 All;  1; 69;  1.0000;274.0000;    15;     5;     0;     0;    20;0.000291;0.000097;0.000388;1.000000;0.750000;0.750000;1.000000;0.998455;0.998455;0.038777;0.029083;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000155;0.000156;0.000000;0.000155;0.000156
 All;  1; 70;  1.0000;278.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;0.999975;0.999975;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 71;  1.0000;282.0000;    22;     0;     0;     0;    22;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999995;0.999995;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 72;  1.0000;286.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;0.999894;0.999894;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 73;  1.0000;290.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;0.999865;0.999865;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 74;  1.0000;294.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999996;0.999996;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
